date,prcp,tavg,tmax,tmin
2000-01-05,0.13,27.0,29.0,26.0
2000-02-05,0.0,27.0,34.0,21.0
2000-03-05,0.0,45.0,57.0,29.0
2000-04-05,0.0,52.0,61.0,35.0
2000-05-05,0.0,69.0,77.0,63.0
2000-06-05,0.0,80.0,93.0,64.0
2000-07-05,1.56,78.0,84.0,72.0
2000-08-05,0.0,80.0,87.0,74.0
2000-09-05,0.5,69.0,77.0,63.0
2000-10-05,0.0,64.0,72.0,56.0
2000-11-05,0.0,45.0,56.0,36.0
2000-12-05,0.0,32.0,43.0,25.0
2001-01-05,0.0,21.0,29.0,13.0
2001-02-05,0.04,18.0,20.0,16.0
2001-03-05,0.0,39.0,48.0,30.0
2001-04-05,0.01,52.0,58.0,44.0
2001-05-05,0.0,67.0,76.0,56.0
2001-06-05,0.0,83.0,95.0,73.0
2001-07-05,0.02,81.0,90.0,71.0
2001-08-05,0.0,82.0,89.0,75.0
2001-09-05,0.01,76.0,86.0,68.0
2001-10-05,0.0,54.0,66.0,41.0
2001-11-05,0.0,46.0,51.0,36.0
2001-12-05,0.0,26.0,34.0,14.0
2002-01-05,0.0,34.0,47.0,25.0
2002-02-05,0.0,37.0,49.0,26.0
2002-03-05,0.0,45.0,53.0,40.0
2002-04-05,0.36,52.0,63.0,50.0
2002-05-05,0.0,64.0,72.0,58.0
2002-06-05,0.01,82.0,95.0,71.0
2002-07-05,0.0,81.0,93.0,69.0
2002-08-05,0.61,79.0,87.0,72.0
2002-09-05,0.0,69.0,83.0,53.0
2002-10-05,0.0,62.0,69.0,56.0
2002-11-05,0.0,41.0,52.0,28.0
2002-12-05,0.0,34.0,42.0,25.0
2003-01-05,0.0,16.0,25.0,6.0
2003-02-05,0.0,31.0,41.0,21.0
2003-03-05,0.0,35.0,39.0,30.0
2003-04-05,0.0,61.0,76.0,43.0
2003-05-05,0.0,69.0,77.0,61.0
2003-06-05,0.01,76.0,88.0,69.0
2003-07-05,0.0,85.0,93.0,78.0
2003-08-05,0.28,79.0,88.0,73.0
2003-09-05,0.0,70.0,79.0,63.0
2003-10-05,0.0,58.0,68.0,49.0
2003-11-05,0.0,48.0,57.0,41.0
2003-12-05,0.0,35.0,41.0,28.0
2004-01-05,0.0,33.0,48.0,23.0
2004-02-05,0.0,28.0,35.0,23.0
2004-03-05,0.0,32.0,40.0,26.0
2004-04-05,0.0,55.0,63.0,47.0
2004-05-05,0.0,73.0,84.0,56.0
2004-06-05,0.0,72.0,80.0,69.0
2004-07-05,0.01,80.0,93.0,67.0
2004-08-05,0.0,79.0,88.0,69.0
2004-09-05,0.02,77.0,85.0,72.0
2004-10-05,0.0,63.0,78.0,51.0
2004-11-05,0.0,45.0,56.0,40.0
2004-12-05,0.0,38.0,45.0,30.0
2005-01-05,0.06,20.0,25.0,14.0
2005-02-05,0.0,22.0,28.0,18.0
2005-03-05,0.0,34.0,48.0,20.0
2005-04-05,0.0,63.0,75.0,51.0
2005-05-05,0.41,61.0,78.0,55.0
2005-06-05,0.33,71.0,82.0,62.0
2005-07-05,0.0,90.0,102.0,76.0
2005-08-05,1.29,79.0,86.0,70.0
2005-09-05,0.0,74.0,86.0,62.0
2005-10-05,0.0,65.0,76.0,53.0
2005-11-05,0.0,53.0,61.0,46.0
2005-12-05,0.0,26.0,32.0,21.0
2006-01-05,0.0,20.0,28.0,14.0
2006-02-05,0.0,24.0,30.0,17.0
2006-03-05,0.0,44.0,61.0,31.0
2006-04-05,0.0,52.0,62.0,46.0
2006-05-05,0.0,67.0,77.0,59.0
2006-06-05,0.0,80.0,93.0,70.0
2006-07-05,0.03,82.0,94.0,74.0
2006-08-05,0.0,79.0,85.0,74.0
2006-09-05,0.0,69.0,80.0,59.0
2006-10-05,0.0,70.0,81.0,59.0
2006-11-05,0.0,49.0,55.0,42.0
2006-12-05,0.0,32.0,38.0,26.0
2007-01-05,0.0,26.0,38.0,17.0
2007-02-05,0.0,42.0,61.0,29.0
2007-03-05,0.0,25.0,33.0,20.0
2007-04-05,0.0,49.0,57.0,44.0
2007-05-05,0.0,73.0,81.0,67.0
2007-06-05,0.0,83.0,97.0,65.0
2007-07-05,0.0,85.0,93.0,76.0
2007-08-05,0.0,77.0,80.0,75.0
2007-09-05,0.0,77.0,89.0,67.0
2007-10-05,0.51,62.0,66.0,59.0
2007-11-05,0.0,46.0,56.0,41.0
2007-12-05,0.0,32.0,41.0,25.0
2008-01-05,0.0,28.0,40.0,20.0
2008-02-05,0.0,29.0,34.0,22.0
2008-03-05,0.0,45.0,58.0,32.0
2008-04-05,0.0,61.0,71.0,49.0
2008-05-05,0.0,66.0,79.0,49.0
2008-06-05,0.0,70.0,79.0,60.0
2008-07-05,1.09,76.0,81.0,72.0
2008-08-05,0.0,83.0,93.0,75.0
2008-09-05,0.0,74.0,85.0,64.0
2008-10-05,0.7,53.0,58.0,50.0
2008-11-05,0.0,50.0,67.0,37.0
2008-12-05,0.0,21.0,28.0,14.0
2009-01-05,0.0,25.0,36.0,18.0
2009-02-05,0.0,35.0,49.0,24.0
2009-03-05,0.05,41.0,51.0,34.0
2009-04-05,0.0,60.0,74.0,42.0
2009-05-05,0.0,73.0,82.0,64.0
2009-06-05,0.0,77.0,89.0,67.0
2009-07-05,0.12,83.0,93.0,77.0
2009-08-05,0.0,75.0,80.0,72.0
2009-09-05,0.07,75.0,80.0,72.0
2009-10-05,0.0,64.0,79.0,47.0
2009-11-05,0.0,45.0,63.0,34.0
2009-12-05,0.0,29.0,39.0,21.0
2010-01-05,0.0,9.0,18.0,4.0
2010-02-05,0.0,26.0,32.0,21.0
2010-03-05,0.0,34.0,44.0,28.0
2010-04-05,0.02,51.0,63.0,46.0
