city,date,tmax,tmin,tavg
beijing,1980/1/1,29,15,22
beijing,1980/1/2,33,22,27
beijing,1980/1/3,33,25,29
beijing,1980/1/4,31,16,22
beijing,1980/1/5,35,7,20
beijing,1980/1/6,31,15,24
beijing,1980/1/7,37,7,21
beijing,1980/1/8,35,14,24
beijing,1980/1/9,31,18,26
beijing,1980/1/10,26,13,18
beijing,1980/1/11,31,5,17
beijing,1980/1/12,39,15,28
beijing,1980/1/13,38,18,29
beijing,1980/1/14,35,21,28
beijing,1980/1/15,41,14,28
beijing,1980/1/16,37,13,26
beijing,1980/1/17,30,9,20
beijing,1980/1/18,26,13,19
beijing,1980/1/19,36,11,22
beijing,1980/1/20,38,13,25
beijing,1980/1/21,36,16,24
beijing,1980/1/22,40,11,24
beijing,1980/1/23,43,20,30
beijing,1980/1/24,39,17,26
beijing,1980/1/25,40,16,26
beijing,1980/1/26,44,24,32
beijing,1980/1/27,42,26,34
beijing,1980/1/28,32,23,27
beijing,1980/1/29,25,6,12
beijing,1980/1/30,23,6,14
beijing,1980/1/31,27,10,19
beijing,1980/2/1,30,14,22
beijing,1980/2/2,29,16,23
beijing,1980/2/3,22,11,16
beijing,1980/2/4,21,12,15
beijing,1980/2/5,19,7,12
beijing,1980/2/6,24,6,15
beijing,1980/2/7,22,4,14
beijing,1980/2/8,28,10,17
beijing,1980/2/9,37,9,22
beijing,1980/2/10,42,17,33
beijing,1980/2/11,40,18,29
beijing,1980/2/12,41,16,28
beijing,1980/2/13,33,18,24
beijing,1980/2/14,38,8,24
beijing,1980/2/15,45,10,27
beijing,1980/2/16,39,15,25
beijing,1980/2/17,42,20,29
beijing,1980/2/18,38,28,31
beijing,1980/2/19,31,17,25
beijing,1980/2/20,44,22,31
beijing,1980/2/21,38,26,30
beijing,1980/2/22,46,29,34
beijing,1980/2/23,50,26,35
beijing,1980/2/24,39,27,32
beijing,1980/2/25,35,29,32
beijing,1980/2/26,46,22,34
beijing,1980/2/27,50,28,37
beijing,1980/2/28,49,26,38
beijing,1980/2/29,49,35,41
beijing,1980/3/1,51,27,38
beijing,1980/3/2,56,25,40
beijing,1980/3/3,52,34,40
beijing,1980/3/4,46,26,35
beijing,1980/3/5,47,25,35
beijing,1980/3/6,53,28,39
beijing,1980/3/7,56,31,42
beijing,1980/3/8,46,37,39
beijing,1980/3/9,38,32,35
beijing,1980/3/10,34,26,29
beijing,1980/3/11,36,27,30
beijing,1980/3/12,36,29,31
beijing,1980/3/13,46,31,36
beijing,1980/3/14,47,30,38
beijing,1980/3/15,47,26,37
beijing,1980/3/16,56,29,41
beijing,1980/3/17,54,35,42
beijing,1980/3/18,38,31,34
beijing,1980/3/19,51,27,38
beijing,1980/3/20,50,34,41
beijing,1980/3/21,42,28,35
beijing,1980/3/22,37,30,31
beijing,1980/3/23,43,31,36
beijing,1980/3/24,53,26,39
beijing,1980/3/25,56,28,45
beijing,1980/3/26,68,29,48
beijing,1980/3/27,70,32,52
beijing,1980/3/28,68,36,53
beijing,1980/3/29,57,40,49
beijing,1980/3/30,52,45,47
beijing,1980/3/31,56,39,47
beijing,1980/4/1,56,33,44
beijing,1980/4/2,63,33,49
beijing,1980/4/3,71,44,56
beijing,1980/4/4,71,46,57
beijing,1980/4/5,56,43,47
beijing,1980/4/6,50,35,42
beijing,1980/4/7,47,42,45
beijing,1980/4/8,60,35,49
beijing,1980/4/9,52,41,45
beijing,1980/4/10,63,35,47
beijing,1980/4/11,72,44,56
beijing,1980/4/12,58,42,45
beijing,1980/4/13,54,38,46
beijing,1980/4/14,54,34,44
beijing,1980/4/15,54,38,45
beijing,1980/4/16,60,31,44
beijing,1980/4/17,64,38,51
beijing,1980/4/18,62,47,53
beijing,1980/4/19,60,48,53
beijing,1980/4/20,63,47,55
beijing,1980/4/21,69,43,58
beijing,1980/4/22,63,46,55
beijing,1980/4/23,64,41,54
beijing,1980/4/24,65,37,54
beijing,1980/4/25,73,38,58
beijing,1980/4/26,64,51,56
beijing,1980/4/27,62,41,52
beijing,1980/4/28,67,42,53
beijing,1980/4/29,73,40,58
beijing,1980/4/30,70,48,59
beijing,1980/5/1,76,45,61
beijing,1980/5/2,74,58,66
beijing,1980/5/3,75,56,64
beijing,1980/5/4,73,46,64
beijing,1980/5/5,71,55,62
beijing,1980/5/6,74,46,61
beijing,1980/5/7,74,47,61
beijing,1980/5/8,76,52,65
beijing,1980/5/9,89,47,70
beijing,1980/5/10,87,56,72
beijing,1980/5/11,78,56,67
beijing,1980/5/12,75,58,66
beijing,1980/5/13,73,54,63
beijing,1980/5/14,75,60,67
beijing,1980/5/15,65,47,57
beijing,1980/5/16,73,43,61
beijing,1980/5/17,81,43,66
beijing,1980/5/18,75,60,67
beijing,1980/5/19,77,49,65
beijing,1980/5/20,81,58,69
beijing,1980/5/21,81,60,72
beijing,1980/5/22,86,59,74
beijing,1980/5/23,85,59,73
beijing,1980/5/24,81,64,71
beijing,1980/5/25,71,53,59
beijing,1980/5/26,74,51,63
beijing,1980/5/27,95,52,75
beijing,1980/5/28,84,61,73
beijing,1980/5/29,88,65,77
beijing,1980/5/30,80,63,70
beijing,1980/5/31,80,65,71
beijing,1980/6/1,69,59,62
beijing,1980/6/2,80,55,67
beijing,1980/6/3,83,53,68
beijing,1980/6/4,87,60,74
beijing,1980/6/5,88,69,78
beijing,1980/6/6,78,68,71
beijing,1980/6/7,87,66,74
beijing,1980/6/8,87,63,76
beijing,1980/6/9,76,66,70
beijing,1980/6/10,87,62,74
beijing,1980/6/11,89,67,79
beijing,1980/6/12,88,65,77
beijing,1980/6/13,84,67,76
beijing,1980/6/14,90,68,80
beijing,1980/6/15,82,70,74
beijing,1980/6/16,86,63,76
beijing,1980/6/17,88,70,80
beijing,1980/6/18,91,67,80
beijing,1980/6/19,90,69,79
beijing,1980/6/20,95,65,78
beijing,1980/6/21,83,65,74
beijing,1980/6/22,83,64,74
beijing,1980/6/23,90,70,81
beijing,1980/6/24,88,72,79
beijing,1980/6/25,87,71,77
beijing,1980/6/26,93,68,80
beijing,1980/6/27,94,74,82
beijing,1980/6/28,85,71,78
beijing,1980/6/29,82,72,74
beijing,1980/6/30,88,69,78
beijing,1980/7/1,81,72,74
beijing,1980/7/2,85,71,77
beijing,1980/7/3,85,73,79
beijing,1980/7/4,88,70,78
beijing,1980/7/5,91,64,77
beijing,1980/7/6,89,67,78
beijing,1980/7/7,92,65,80
beijing,1980/7/8,92,70,80
beijing,1980/7/9,95,72,83
beijing,1980/7/10,93,75,81
beijing,1980/7/11,90,72,82
beijing,1980/7/12,91,73,82
beijing,1980/7/13,83,73,77
beijing,1980/7/14,92,65,79
beijing,1980/7/15,84,72,78
beijing,1980/7/16,87,69,77
beijing,1980/7/17,84,71,77
beijing,1980/7/18,89,75,81
beijing,1980/7/19,90,74,81
beijing,1980/7/20,88,70,79
beijing,1980/7/21,88,70,78
beijing,1980/7/22,91,74,82
beijing,1980/7/23,92,71,81
beijing,1980/7/24,83,73,78
beijing,1980/7/25,94,70,80
beijing,1980/7/26,92,68,80
beijing,1980/7/27,84,73,78
beijing,1980/7/28,87,71,79
beijing,1980/7/29,86,72,79
beijing,1980/7/30,89,71,80
beijing,1980/7/31,91,72,82
beijing,1980/8/1,89,72,80
beijing,1980/8/2,87,73,78
beijing,1980/8/3,81,73,75
beijing,1980/8/4,84,69,76
beijing,1980/8/5,86,69,76
beijing,1980/8/6,87,70,77
beijing,1980/8/7,87,68,76
beijing,1980/8/8,88,68,76
beijing,1980/8/9,85,67,74
beijing,1980/8/10,79,69,72
beijing,1980/8/11,78,69,72
beijing,1980/8/12,81,65,72
beijing,1980/8/13,84,66,74
beijing,1980/8/14,84,69,74
beijing,1980/8/15,86,67,73
beijing,1980/8/16,81,67,73
beijing,1980/8/17,81,68,74
beijing,1980/8/18,84,67,75
beijing,1980/8/19,85,66,74
beijing,1980/8/20,87,64,75
beijing,1980/8/21,87,64,76
beijing,1980/8/22,87,65,76
beijing,1980/8/23,90,70,78
beijing,1980/8/24,84,71,75
beijing,1980/8/25,84,69,75
beijing,1980/8/26,84,65,74
beijing,1980/8/27,77,71,73
beijing,1980/8/28,72,65,67
beijing,1980/8/29,80,65,71
beijing,1980/8/30,84,63,74
beijing,1980/8/31,85,64,74
beijing,1980/9/1,75,61,66
beijing,1980/9/2,82,58,71
beijing,1980/9/3,81,61,72
beijing,1980/9/4,82,65,71
beijing,1980/9/5,85,54,69
beijing,1980/9/6,81,60,71
beijing,1980/9/7,79,61,70
beijing,1980/9/8,81,53,67
beijing,1980/9/9,78,56,66
beijing,1980/9/10,80,54,66
beijing,1980/9/11,86,58,69
beijing,1980/9/12,81,59,70
beijing,1980/9/13,81,53,68
beijing,1980/9/14,68,61,63
beijing,1980/9/15,74,60,65
beijing,1980/9/16,79,48,63
beijing,1980/9/17,82,48,64
beijing,1980/9/18,81,48,65
beijing,1980/9/19,75,55,64
beijing,1980/9/20,70,46,60
beijing,1980/9/21,68,54,60
beijing,1980/9/22,69,48,57
beijing,1980/9/23,78,40,59
beijing,1980/9/24,80,47,62
beijing,1980/9/25,63,55,59
beijing,1980/9/26,74,50,61
beijing,1980/9/27,78,50,63
beijing,1980/9/28,78,56,65
beijing,1980/9/29,69,56,60
beijing,1980/9/30,72,47,58
beijing,1980/10/1,78,56,65
beijing,1980/10/2,78,56,65
beijing,1980/10/3,78,53,65
beijing,1980/10/4,77,55,66
beijing,1980/10/5,77,54,64
beijing,1980/10/6,78,53,65
beijing,1980/10/7,78,55,65
beijing,1980/10/8,64,43,53
beijing,1980/10/9,64,44,55
beijing,1980/10/10,58,51,55
beijing,1980/10/11,58,50,54
beijing,1980/10/12,52,48,50
beijing,1980/10/13,64,40,52
