city,date,tmax,tmin,tavg
fengcheng,1980/1/1,44,41,42
fengcheng,1980/1/2,43,40,40
fengcheng,1980/1/3,40,38,39
fengcheng,1980/1/4,40,35,37
fengcheng,1980/1/5,44,31,38
fengcheng,1980/1/6,43,39,41
fengcheng,1980/1/7,47,34,40
fengcheng,1980/1/8,40,35,38
fengcheng,1980/1/9,42,29,37
fengcheng,1980/1/10,46,31,37
fengcheng,1980/1/11,44,39,40
fengcheng,1980/1/12,42,35,40
fengcheng,1980/1/13,45,34,40
fengcheng,1980/1/14,52,34,42
fengcheng,1980/1/15,54,34,43
fengcheng,1980/1/16,48,37,42
fengcheng,1980/1/17,56,42,48
fengcheng,1980/1/18,52,35,43
fengcheng,1980/1/19,49,41,44
fengcheng,1980/1/20,52,35,42
fengcheng,1980/1/21,53,41,45
fengcheng,1980/1/22,54,32,43
fengcheng,1980/1/23,60,37,48
fengcheng,1980/1/24,55,47,48
fengcheng,1980/1/25,48,44,46
fengcheng,1980/1/26,56,45,50
fengcheng,1980/1/27,54,51,52
fengcheng,1980/1/28,55,44,49
fengcheng,1980/1/29,44,34,37
fengcheng,1980/1/30,34,26,29
fengcheng,1980/1/31,33,22,27
fengcheng,1980/2/1,34,26,30
fengcheng,1980/2/2,36,31,33
fengcheng,1980/2/3,37,34,36
fengcheng,1980/2/4,36,30,33
fengcheng,1980/2/5,38,27,32
fengcheng,1980/2/6,35,28,31
fengcheng,1980/2/7,31,26,29
fengcheng,1980/2/8,33,26,29
fengcheng,1980/2/9,40,25,32
fengcheng,1980/2/10,41,32,37
fengcheng,1980/2/11,47,32,40
fengcheng,1980/2/12,46,38,41
fengcheng,1980/2/13,40,34,37
fengcheng,1980/2/14,49,28,38
fengcheng,1980/2/15,49,33,42
fengcheng,1980/2/16,48,40,42
fengcheng,1980/2/17,47,41,43
fengcheng,1980/2/18,44,42,43
fengcheng,1980/2/19,47,40,44
fengcheng,1980/2/20,44,41,42
fengcheng,1980/2/21,48,42,44
fengcheng,1980/2/22,50,44,47
fengcheng,1980/2/23,49,46,47
fengcheng,1980/2/24,55,47,50
fengcheng,1980/2/25,53,50,51
fengcheng,1980/2/26,53,50,51
fengcheng,1980/2/27,57,45,50
fengcheng,1980/2/28,60,39,51
fengcheng,1980/2/29,71,53,60
fengcheng,1980/3/1,61,46,50
fengcheng,1980/3/2,50,44,46
fengcheng,1980/3/3,45,43,44
fengcheng,1980/3/4,45,44,44
fengcheng,1980/3/5,49,42,45
fengcheng,1980/3/6,51,45,47
fengcheng,1980/3/7,52,47,49
fengcheng,1980/3/8,52,49,51
fengcheng,1980/3/9,60,48,53
fengcheng,1980/3/10,55,45,48
fengcheng,1980/3/11,46,40,42
fengcheng,1980/3/12,41,39,40
fengcheng,1980/3/13,42,38,40
fengcheng,1980/3/14,42,39,41
fengcheng,1980/3/15,47,39,43
fengcheng,1980/3/16,47,44,46
fengcheng,1980/3/17,50,47,48
fengcheng,1980/3/18,55,49,51
fengcheng,1980/3/19,59,44,52
fengcheng,1980/3/20,59,53,55
fengcheng,1980/3/21,57,45,49
fengcheng,1980/3/22,51,43,46
fengcheng,1980/3/23,50,44,46
fengcheng,1980/3/24,44,38,40
fengcheng,1980/3/25,46,40,43
fengcheng,1980/3/26,51,45,48
fengcheng,1980/3/27,60,45,52
fengcheng,1980/3/28,57,52,53
fengcheng,1980/3/29,65,52,56
fengcheng,1980/3/30,73,56,62
fengcheng,1980/3/31,61,49,52
fengcheng,1980/4/1,63,49,54
fengcheng,1980/4/2,68,49,59
fengcheng,1980/4/3,64,57,58
fengcheng,1980/4/4,75,57,65
fengcheng,1980/4/5,84,67,75
fengcheng,1980/4/6,77,52,56
fengcheng,1980/4/7,72,49,60
fengcheng,1980/4/8,69,63,66
fengcheng,1980/4/9,67,58,62
fengcheng,1980/4/10,61,55,57
fengcheng,1980/4/11,64,56,60
fengcheng,1980/4/12,67,60,63
fengcheng,1980/4/13,65,43,53
fengcheng,1980/4/14,55,43,48
fengcheng,1980/4/15,67,44,55
fengcheng,1980/4/16,73,54,63
fengcheng,1980/4/17,83,58,69
fengcheng,1980/4/18,84,60,72
fengcheng,1980/4/19,75,66,69
fengcheng,1980/4/20,70,64,67
fengcheng,1980/4/21,75,60,67
fengcheng,1980/4/22,76,62,69
fengcheng,1980/4/23,72,57,64
fengcheng,1980/4/24,58,48,53
fengcheng,1980/4/25,50,45,48
fengcheng,1980/4/26,53,49,51
fengcheng,1980/4/27,63,51,56
fengcheng,1980/4/28,61,56,58
fengcheng,1980/4/29,62,58,60
fengcheng,1980/4/30,72,59,65
fengcheng,1980/5/1,68,63,65
fengcheng,1980/5/2,65,60,63
fengcheng,1980/5/3,82,64,71
fengcheng,1980/5/4,78,69,72
fengcheng,1980/5/5,80,67,74
fengcheng,1980/5/6,74,62,67
fengcheng,1980/5/7,63,58,59
fengcheng,1980/5/8,68,56,61
fengcheng,1980/5/9,74,59,66
fengcheng,1980/5/10,72,63,68
fengcheng,1980/5/11,70,64,67
fengcheng,1980/5/12,87,65,75
fengcheng,1980/5/13,92,73,82
fengcheng,1980/5/14,85,72,78
fengcheng,1980/5/15,76,67,72
fengcheng,1980/5/16,75,64,69
fengcheng,1980/5/17,76,61,68
fengcheng,1980/5/18,78,63,70
fengcheng,1980/5/19,73,62,66
fengcheng,1980/5/20,75,62,67
fengcheng,1980/5/21,78,64,70
fengcheng,1980/5/22,85,67,75
fengcheng,1980/5/23,90,74,81
fengcheng,1980/5/24,93,76,85
fengcheng,1980/5/25,88,73,78
fengcheng,1980/5/26,75,64,69
fengcheng,1980/5/27,80,60,70
fengcheng,1980/5/28,86,63,74
fengcheng,1980/5/29,88,70,79
fengcheng,1980/5/30,90,72,81
fengcheng,1980/5/31,91,77,83
fengcheng,1980/6/1,83,68,72
fengcheng,1980/6/2,83,67,75
fengcheng,1980/6/3,81,69,75
fengcheng,1980/6/4,83,66,74
fengcheng,1980/6/5,87,72,79
fengcheng,1980/6/6,75,72,73
fengcheng,1980/6/7,81,72,76
fengcheng,1980/6/8,84,76,79
fengcheng,1980/6/9,89,76,82
fengcheng,1980/6/10,88,73,80
fengcheng,1980/6/11,82,72,75
fengcheng,1980/6/12,85,74,76
fengcheng,1980/6/13,81,71,75
fengcheng,1980/6/14,90,73,82
fengcheng,1980/6/15,94,78,86
fengcheng,1980/6/16,93,80,86
fengcheng,1980/6/17,92,79,85
fengcheng,1980/6/18,87,75,80
fengcheng,1980/6/19,90,74,79
fengcheng,1980/6/20,78,71,74
fengcheng,1980/6/21,81,72,76
fengcheng,1980/6/22,80,71,76
fengcheng,1980/6/23,92,75,83
fengcheng,1980/6/24,92,78,85
fengcheng,1980/6/25,94,77,85
fengcheng,1980/6/26,93,77,84
fengcheng,1980/6/27,94,79,86
fengcheng,1980/6/28,91,76,84
fengcheng,1980/6/29,91,77,85
fengcheng,1980/6/30,94,77,86
fengcheng,1980/7/1,97,81,88
fengcheng,1980/7/2,93,83,87
fengcheng,1980/7/3,93,77,84
fengcheng,1980/7/4,96,79,85
fengcheng,1980/7/5,80,74,76
fengcheng,1980/7/6,81,74,77
fengcheng,1980/7/7,90,76,81
fengcheng,1980/7/8,91,77,84
fengcheng,1980/7/9,90,79,84
fengcheng,1980/7/10,90,78,83
fengcheng,1980/7/11,90,79,84
fengcheng,1980/7/12,89,78,82
fengcheng,1980/7/13,82,73,76
fengcheng,1980/7/14,78,72,75
fengcheng,1980/7/15,89,73,79
fengcheng,1980/7/16,92,76,82
fengcheng,1980/7/17,94,77,85
fengcheng,1980/7/18,93,79,85
fengcheng,1980/7/19,93,77,84
fengcheng,1980/7/20,93,78,85
fengcheng,1980/7/21,93,77,85
fengcheng,1980/7/22,95,80,88
fengcheng,1980/7/23,94,81,88
fengcheng,1980/7/24,96,81,88
fengcheng,1980/7/25,98,81,89
fengcheng,1980/7/26,100,81,90
fengcheng,1980/7/27,98,83,90
fengcheng,1980/7/28,92,76,83
fengcheng,1980/7/29,90,75,81
fengcheng,1980/7/30,94,78,85
fengcheng,1980/7/31,94,77,84
fengcheng,1980/8/1,94,78,84
fengcheng,1980/8/2,94,78,85
fengcheng,1980/8/3,88,75,81
fengcheng,1980/8/4,83,76,79
fengcheng,1980/8/5,80,73,74
fengcheng,1980/8/6,79,67,72
fengcheng,1980/8/7,84,70,77
fengcheng,1980/8/8,86,75,79
fengcheng,1980/8/9,90,73,81
fengcheng,1980/8/10,85,76,81
fengcheng,1980/8/11,83,72,78
fengcheng,1980/8/12,83,72,78
fengcheng,1980/8/13,80,73,74
fengcheng,1980/8/14,75,70,73
fengcheng,1980/8/15,75,70,72
fengcheng,1980/8/16,76,70,73
fengcheng,1980/8/17,79,70,74
fengcheng,1980/8/18,84,70,76
fengcheng,1980/8/19,90,75,80
fengcheng,1980/8/20,87,76,80
fengcheng,1980/8/21,90,77,81
fengcheng,1980/8/22,87,76,81
fengcheng,1980/8/23,92,79,84
fengcheng,1980/8/24,92,78,85
fengcheng,1980/8/25,94,79,84
fengcheng,1980/8/26,87,76,81
fengcheng,1980/8/27,89,76,82
fengcheng,1980/8/28,88,77,82
