city,date,tmax,tmin,tavg
hailar,1980/1/1,4,-7,-1
hailar,1980/1/2,1,-22,-16
hailar,1980/1/3,-12,-23,-18
hailar,1980/1/4,-14,-30,-22
hailar,1980/1/5,-11,-27,-21
hailar,1980/1/6,-22,-35,-29
hailar,1980/1/7,-20,-38,-29
hailar,1980/1/8,-16,-33,-27
hailar,1980/1/9,-20,-41,-32
hailar,1980/1/10,-10,-33,-23
hailar,1980/1/11,-10,-24,-21
hailar,1980/1/12,-16,-31,-26
hailar,1980/1/13,-1,-37,-17
hailar,1980/1/14,0,-17,-6
hailar,1980/1/15,-13,-32,-23
hailar,1980/1/16,-7,-37,-18
hailar,1980/1/17,-10,-28,-19
hailar,1980/1/18,-11,-30,-18
hailar,1980/1/19,-9,-23,-15
hailar,1980/1/20,-11,-30,-23
hailar,1980/1/21,-12,-29,-21
hailar,1980/1/22,6,-15,-3
hailar,1980/1/23,2,-20,-12
hailar,1980/1/24,2,-23,-12
hailar,1980/1/25,6,-17,-3
hailar,1980/1/26,22,-2,6
hailar,1980/1/27,2,-10,-7
hailar,1980/1/28,-9,-24,-20
hailar,1980/1/29,-16,-32,-26
hailar,1980/1/30,-10,-34,-24
hailar,1980/1/31,-11,-31,-23
hailar,1980/2/1,-10,-32,-23
hailar,1980/2/2,-6,-25,-15
hailar,1980/2/3,-5,-11,-9
hailar,1980/2/4,-8,-25,-19
hailar,1980/2/5,-14,-30,-22
hailar,1980/2/6,-17,-34,-28
hailar,1980/2/7,-10,-32,-24
hailar,1980/2/8,-5,-26,-18
hailar,1980/2/9,-3,-23,-15
hailar,1980/2/10,-4,-24,-15
hailar,1980/2/11,-6,-31,-20
hailar,1980/2/12,-3,-32,-19
hailar,1980/2/13,-1,-16,-10
hailar,1980/2/14,-5,-28,-19
hailar,1980/2/15,-4,-28,-18
hailar,1980/2/16,-1,-26,-16
hailar,1980/2/17,1,-26,-11
hailar,1980/2/18,7,-10,-3
hailar,1980/2/19,2,-15,-9
hailar,1980/2/20,2,-19,-9
hailar,1980/2/21,6,-23,-9
hailar,1980/2/22,13,-15,-3
hailar,1980/2/23,9,-11,-3
hailar,1980/2/24,17,-7,5
hailar,1980/2/25,18,1,8
hailar,1980/2/26,11,-8,1
hailar,1980/2/27,22,1,9
hailar,1980/2/28,21,-2,10
hailar,1980/2/29,18,0,8
hailar,1980/3/1,20,-1,9
hailar,1980/3/2,18,-1,7
hailar,1980/3/3,17,-8,4
hailar,1980/3/4,22,1,11
hailar,1980/3/5,26,-4,10
hailar,1980/3/6,22,2,10
hailar,1980/3/7,18,0,7
hailar,1980/3/8,6,-12,-4
hailar,1980/3/9,4,-22,-9
hailar,1980/3/10,6,-19,-6
hailar,1980/3/11,13,-17,-4
hailar,1980/3/12,16,-9,0
hailar,1980/3/13,17,-10,2
hailar,1980/3/14,18,-2,8
hailar,1980/3/15,11,-6,2
hailar,1980/3/16,7,-13,-4
hailar,1980/3/17,12,-17,-3
hailar,1980/3/18,14,-14,-1
hailar,1980/3/19,18,-2,7
hailar,1980/3/20,20,-6,8
hailar,1980/3/21,20,-7,7
hailar,1980/3/22,20,-10,5
hailar,1980/3/23,23,-5,10
hailar,1980/3/24,27,-1,13
hailar,1980/3/25,28,-1,14
hailar,1980/3/26,38,9,23
hailar,1980/3/27,47,22,33
hailar,1980/3/28,55,29,39
hailar,1980/3/29,36,21,25
hailar,1980/3/30,31,14,22
hailar,1980/3/31,29,11,20
hailar,1980/4/1,28,11,19
hailar,1980/4/2,28,9,19
hailar,1980/4/3,48,15,31
hailar,1980/4/4,39,17,25
hailar,1980/4/5,26,10,17
hailar,1980/4/6,26,6,17
hailar,1980/4/7,27,7,17
hailar,1980/4/8,27,13,19
hailar,1980/4/9,28,7,18
hailar,1980/4/10,30,10,18
hailar,1980/4/11,31,15,24
hailar,1980/4/12,34,10,22
hailar,1980/4/13,37,14,25
hailar,1980/4/14,41,15,28
hailar,1980/4/15,45,19,31
hailar,1980/4/16,46,22,34
hailar,1980/4/17,53,28,40
hailar,1980/4/18,43,31,36
hailar,1980/4/19,44,31,34
hailar,1980/4/20,34,29,31
hailar,1980/4/21,35,27,30
hailar,1980/4/22,35,24,30
hailar,1980/4/23,37,24,30
hailar,1980/4/24,46,23,35
hailar,1980/4/25,52,25,39
hailar,1980/4/26,54,27,42
hailar,1980/4/27,53,28,40
hailar,1980/4/28,56,30,44
hailar,1980/4/29,44,26,32
hailar,1980/4/30,53,26,40
hailar,1980/5/1,60,27,44
hailar,1980/5/2,63,33,49
hailar,1980/5/3,55,39,44
hailar,1980/5/4,46,35,41
hailar,1980/5/5,59,31,45
hailar,1980/5/6,60,33,46
hailar,1980/5/7,46,31,38
hailar,1980/5/8,66,26,48
hailar,1980/5/9,60,44,51
hailar,1980/5/10,79,33,58
hailar,1980/5/11,65,40,50
hailar,1980/5/12,52,31,43
hailar,1980/5/13,52,26,40
hailar,1980/5/14,49,30,41
hailar,1980/5/15,51,31,41
hailar,1980/5/16,61,33,49
hailar,1980/5/17,79,36,58
hailar,1980/5/18,65,50,57
hailar,1980/5/19,66,43,55
hailar,1980/5/20,65,44,52
hailar,1980/5/21,69,40,55
hailar,1980/5/22,72,46,58
hailar,1980/5/23,61,39,51
hailar,1980/5/24,59,37,50
hailar,1980/5/25,53,33,43
hailar,1980/5/26,59,34,48
hailar,1980/5/27,55,36,46
hailar,1980/5/28,61,35,49
hailar,1980/5/29,63,32,49
hailar,1980/5/30,65,39,50
hailar,1980/5/31,59,46,51
hailar,1980/6/1,60,35,49
hailar,1980/6/2,60,34,47
hailar,1980/6/3,69,40,56
hailar,1980/6/4,71,47,60
hailar,1980/6/5,79,47,64
hailar,1980/6/6,74,53,56
hailar,1980/6/7,73,47,61
hailar,1980/6/8,78,47,63
hailar,1980/6/9,75,59,66
hailar,1980/6/10,75,52,63
hailar,1980/6/11,73,50,63
hailar,1980/6/12,76,49,65
hailar,1980/6/13,77,51,65
hailar,1980/6/14,79,52,66
hailar,1980/6/15,78,55,67
hailar,1980/6/16,75,54,62
hailar,1980/6/17,77,49,63
hailar,1980/6/18,66,49,58
hailar,1980/6/19,59,48,53
hailar,1980/6/20,73,47,59
hailar,1980/6/21,78,51,65
hailar,1980/6/22,84,57,72
hailar,1980/6/23,84,58,72
hailar,1980/6/24,96,64,79
hailar,1980/6/25,98,69,82
hailar,1980/6/26,95,64,82
hailar,1980/6/27,98,67,82
hailar,1980/6/28,92,67,78
hailar,1980/6/29,85,64,75
hailar,1980/6/30,90,57,74
hailar,1980/7/1,84,67,74
hailar,1980/7/2,79,59,66
hailar,1980/7/3,68,58,62
hailar,1980/7/4,67,58,60
hailar,1980/7/5,71,58,64
hailar,1980/7/6,77,57,68
hailar,1980/7/7,79,58,66
hailar,1980/7/8,72,55,64
hailar,1980/7/9,73,56,63
hailar,1980/7/10,78,57,69
hailar,1980/7/11,84,58,71
hailar,1980/7/12,87,59,73
hailar,1980/7/13,81,63,72
hailar,1980/7/14,88,62,72
hailar,1980/7/15,84,64,71
hailar,1980/7/16,73,63,67
hailar,1980/7/17,82,56,69
hailar,1980/7/18,87,63,75
hailar,1980/7/19,78,57,69
hailar,1980/7/20,78,57,67
hailar,1980/7/21,78,55,67
hailar,1980/7/22,82,57,71
hailar,1980/7/23,84,61,73
hailar,1980/7/24,78,57,68
hailar,1980/7/25,72,58,65
hailar,1980/7/26,80,62,70
hailar,1980/7/27,81,55,69
hailar,1980/7/28,83,57,70
hailar,1980/7/29,86,60,73
hailar,1980/7/30,86,63,75
hailar,1980/7/31,83,67,75
hailar,1980/8/1,81,64,67
hailar,1980/8/2,84,63,69
hailar,1980/8/3,72,62,67
hailar,1980/8/4,80,62,69
hailar,1980/8/5,80,59,68
hailar,1980/8/6,81,57,70
hailar,1980/8/7,84,60,73
hailar,1980/8/8,86,60,73
hailar,1980/8/9,83,62,73
hailar,1980/8/10,80,57,69
hailar,1980/8/11,78,58,68
hailar,1980/8/12,79,61,69
hailar,1980/8/13,75,59,66
hailar,1980/8/14,76,62,67
hailar,1980/8/15,72,56,65
hailar,1980/8/16,77,53,65
hailar,1980/8/17,82,53,67
hailar,1980/8/18,76,58,65
hailar,1980/8/19,81,54,67
hailar,1980/8/20,88,58,72
hailar,1980/8/21,82,57,67
hailar,1980/8/22,71,58,60
hailar,1980/8/23,72,56,63
hailar,1980/8/24,73,50,62
hailar,1980/8/25,64,57,60
hailar,1980/8/26,62,56,58
hailar,1980/8/27,65,51,57
hailar,1980/8/28,72,48,59
hailar,1980/8/29,72,50,60
hailar,1980/8/30,67,47,57
hailar,1980/8/31,68,45,57
hailar,1980/9/1,65,54,56
hailar,1980/9/2,63,54,57
hailar,1980/9/3,67,51,58
hailar,1980/9/4,62,49,55
hailar,1980/9/5,57,49,51
hailar,1980/9/6,66,47,55
hailar,1980/9/7,69,40,54
hailar,1980/9/8,72,49,60
hailar,1980/9/9,78,48,63
hailar,1980/9/10,75,50,61
hailar,1980/9/11,71,48,57
hailar,1980/9/12,70,46,57
hailar,1980/9/13,65,49,55
hailar,1980/9/14,65,42,53
hailar,1980/9/15,58,40,49
hailar,1980/9/16,59,35,48
hailar,1980/9/17,64,39,51
hailar,1980/9/18,63,42,50
hailar,1980/9/19,45,33,39
hailar,1980/9/20,46,30,38
hailar,1980/9/21,42,31,36
hailar,1980/9/22,53,28,40
hailar,1980/9/23,51,38,43
hailar,1980/9/24,44,31,37
hailar,1980/9/25,48,19,34
hailar,1980/9/26,54,28,41
hailar,1980/9/27,51,39,44
hailar,1980/9/28,56,29,42
hailar,1980/9/29,64,32,46
hailar,1980/9/30,68,32,49
hailar,1980/10/1,67,37,52
hailar,1980/10/2,78,41,59
hailar,1980/10/3,68,37,50
hailar,1980/10/4,48,29,37
hailar,1980/10/5,49,30,37
hailar,1980/10/6,44,24,33
hailar,1980/10/7,40,24,33
hailar,1980/10/8,47,19,33
hailar,1980/10/9,48,30,38
hailar,1980/10/10,43,21,30
hailar,1980/10/11,44,19,31
hailar,1980/10/12,44,22,33
hailar,1980/10/13,43,27,33
hailar,1980/10/14,41,22,29
hailar,1980/10/15,41,25,31
hailar,1980/10/16,36,17,26
hailar,1980/10/17,34,12,23
hailar,1980/10/18,35,18,25
hailar,1980/10/19,32,18,22
hailar,1980/10/20,27,13,17
hailar,1980/10/21,34,9,19
hailar,1980/10/22,46,15,27
hailar,1980/10/23,34,21,27
hailar,1980/10/24,28,7,16
hailar,1980/10/25,26,6,15
hailar,1980/10/26,29,10,18
hailar,1980/10/27,35,10,22
hailar,1980/10/28,40,7,21
hailar,1980/10/29,33,19,28
hailar,1980/10/30,30,10,20
hailar,1980/10/31,38,23,29
hailar,1980/11/1,33,9,20
hailar,1980/11/2,44,15,27
hailar,1980/11/3,46,22,31
hailar,1980/11/4,42,19,29
hailar,1980/11/5,31,12,17
hailar,1980/11/6,24,9,15
hailar,1980/11/7,23,0,12
hailar,1980/11/8,18,2,8
hailar,1980/11/9,20,-5,8
hailar,1980/11/10,20,6,15
hailar,1980/11/11,23,-4,9
hailar,1980/11/12,13,-5,3
hailar,1980/11/13,11,-11,1
hailar,1980/11/14,12,-7,1
hailar,1980/11/15,24,-2,14
hailar,1980/11/16,26,-3,11
hailar,1980/11/17,32,15,22
hailar,1980/11/18,37,13,22
hailar,1980/11/19,32,10,20
hailar,1980/11/20,23,8,17
hailar,1980/11/21,24,0,11
hailar,1980/11/22,24,6,13
hailar,1980/11/23,27,2,14
hailar,1980/11/24,26,9,15
hailar,1980/11/25,26,-2,8
hailar,1980/11/26,27,4,13
hailar,1980/11/27,24,1,10
hailar,1980/11/28,24,3,11
hailar,1980/11/29,32,5,17
hailar,1980/11/30,19,1,12
