date,prcp,tavg,tmax,tmin
1980-06-20,0.35,78.0,95.0,65.0
1980-06-21,0.0,74.0,83.0,65.0
1980-06-22,0.96,74.0,83.0,64.0
1980-06-23,0.0,81.0,90.0,70.0
1980-06-24,0.0,79.0,88.0,72.0
1980-06-25,0.0,77.0,87.0,71.0
1980-06-26,0.0,80.0,93.0,68.0
1980-06-27,0.0,82.0,94.0,74.0
1980-06-28,0.0,78.0,85.0,71.0
1980-06-29,1.11,74.0,82.0,72.0
1980-06-30,0.0,78.0,88.0,69.0
1980-07-01,0.0,74.0,81.0,72.0
1980-07-02,0.0,77.0,85.0,71.0
1980-07-03,0.02,79.0,85.0,73.0
1980-07-04,0.26,78.0,88.0,70.0
1980-07-05,0.03,77.0,91.0,64.0
1980-07-06,0.0,78.0,89.0,67.0
1980-07-07,0.0,80.0,92.0,65.0
1980-07-08,0.0,80.0,92.0,70.0
1980-07-09,0.0,83.0,95.0,72.0
1980-07-10,0.0,81.0,93.0,75.0
1980-07-11,0.0,82.0,90.0,72.0
1980-07-12,0.0,82.0,91.0,73.0
1980-07-13,0.0,77.0,83.0,73.0
1980-07-14,0.0,79.0,92.0,65.0
1980-07-15,0.24,78.0,84.0,72.0
1980-07-16,0.01,77.0,87.0,69.0
1980-07-17,0.0,77.0,84.0,71.0
1980-07-18,0.0,81.0,89.0,75.0
1980-07-19,0.01,81.0,90.0,74.0
1980-07-20,0.07,79.0,88.0,70.0
1980-07-21,0.3,78.0,88.0,70.0
1980-07-22,0.0,82.0,91.0,74.0
1980-07-23,0.0,81.0,92.0,71.0
1980-07-24,0.27,78.0,83.0,73.0
1980-07-25,0.0,80.0,94.0,70.0
1980-07-26,0.0,80.0,92.0,68.0
1980-07-27,0.0,78.0,84.0,73.0
1980-07-28,0.0,79.0,87.0,71.0
1980-07-29,0.0,79.0,86.0,72.0
1980-07-30,0.0,80.0,89.0,71.0
1980-07-31,0.0,82.0,91.0,72.0
1980-08-01,0.0,80.0,89.0,72.0
1980-08-02,0.0,78.0,87.0,73.0
1980-08-03,0.05,75.0,81.0,73.0
1980-08-04,0.01,76.0,84.0,69.0
1980-08-05,0.0,76.0,86.0,69.0
1980-08-06,0.0,77.0,87.0,70.0
1980-08-07,0.0,76.0,87.0,68.0
1980-08-08,0.0,76.0,88.0,68.0
1980-08-09,0.0,74.0,85.0,67.0
1980-08-10,0.1,72.0,79.0,69.0
1980-08-11,0.35,72.0,78.0,69.0
1980-08-12,0.09,72.0,81.0,65.0
1980-08-13,0.0,74.0,84.0,66.0
1980-08-14,0.0,74.0,84.0,69.0
1980-08-15,0.19,73.0,86.0,67.0
1980-08-16,0.48,73.0,81.0,67.0
1980-08-17,1.3,74.0,81.0,68.0
1980-08-18,0.0,75.0,84.0,67.0
1980-08-19,0.0,74.0,85.0,66.0
1980-08-20,0.0,75.0,87.0,64.0
1980-08-21,0.0,76.0,87.0,64.0
1980-08-22,0.0,76.0,87.0,65.0
1980-08-23,0.0,78.0,90.0,70.0
1980-08-24,0.0,75.0,84.0,71.0
1980-08-25,0.0,75.0,84.0,69.0
1980-08-26,0.01,74.0,84.0,65.0
