city,date,tmax,tmin,tavg
longyan,1980/1/1,70,59,62
longyan,1980/1/2,69,57,62
longyan,1980/1/3,66,57,60
longyan,1980/1/4,62,56,58
longyan,1980/1/5,56,50,52
longyan,1980/1/6,69,48,57
longyan,1980/1/7,60,50,54
longyan,1980/1/8,54,48,51
longyan,1980/1/9,67,49,56
longyan,1980/1/10,65,50,56
longyan,1980/1/11,69,50,58
longyan,1980/1/12,66,52,58
longyan,1980/1/13,66,53,57
longyan,1980/1/14,56,51,52
longyan,1980/1/15,63,46,53
longyan,1980/1/16,67,48,56
longyan,1980/1/17,63,51,55
longyan,1980/1/18,57,49,53
longyan,1980/1/19,64,49,56
longyan,1980/1/20,64,51,56
longyan,1980/1/21,62,51,54
longyan,1980/1/22,62,49,53
longyan,1980/1/23,67,46,54
longyan,1980/1/24,69,49,57
longyan,1980/1/25,65,52,57
longyan,1980/1/26,64,55,58
longyan,1980/1/27,69,55,59
longyan,1980/1/28,68,56,61
longyan,1980/1/29,63,55,60
longyan,1980/1/30,56,45,49
longyan,1980/1/31,50,40,44
longyan,1980/2/1,49,41,45
longyan,1980/2/2,49,45,47
longyan,1980/2/3,49,45,48
longyan,1980/2/4,49,46,47
longyan,1980/2/5,47,41,43
longyan,1980/2/6,45,40,43
longyan,1980/2/7,45,42,44
longyan,1980/2/8,46,42,44
longyan,1980/2/9,47,40,43
longyan,1980/2/10,52,41,47
longyan,1980/2/11,59,47,50
longyan,1980/2/12,60,46,51
longyan,1980/2/13,61,45,51
longyan,1980/2/14,67,50,56
longyan,1980/2/15,65,48,54
longyan,1980/2/16,63,49,55
longyan,1980/2/17,69,49,58
longyan,1980/2/18,72,54,60
longyan,1980/2/19,66,56,60
longyan,1980/2/20,65,54,58
longyan,1980/2/21,61,53,56
longyan,1980/2/22,67,52,57
longyan,1980/2/23,63,54,57
longyan,1980/2/24,67,53,58
longyan,1980/2/25,69,55,60
longyan,1980/2/26,71,56,60
longyan,1980/2/27,65,54,57
longyan,1980/2/28,64,49,56
longyan,1980/2/29,65,55,58
longyan,1980/3/1,79,56,64
longyan,1980/3/2,60,54,57
longyan,1980/3/3,72,55,62
longyan,1980/3/4,67,55,57
longyan,1980/3/5,60,54,57
longyan,1980/3/6,61,54,58
longyan,1980/3/7,65,58,62
longyan,1980/3/8,65,58,60
longyan,1980/3/9,78,59,66
longyan,1980/3/10,63,55,58
longyan,1980/3/11,64,56,58
longyan,1980/3/12,62,52,56
longyan,1980/3/13,65,53,56
longyan,1980/3/14,62,53,56
longyan,1980/3/15,61,49,53
longyan,1980/3/16,65,53,58
longyan,1980/3/17,70,57,61
longyan,1980/3/18,67,58,61
longyan,1980/3/19,68,56,60
longyan,1980/3/20,70,58,62
longyan,1980/3/21,67,59,61
longyan,1980/3/22,75,59,64
longyan,1980/3/23,67,53,59
longyan,1980/3/24,65,53,57
longyan,1980/3/25,67,52,58
longyan,1980/3/26,64,54,57
longyan,1980/3/27,68,51,58
longyan,1980/3/28,73,55,61
longyan,1980/3/29,76,59,67
longyan,1980/3/30,71,60,63
longyan,1980/3/31,83,59,70
longyan,1980/4/1,74,53,55
longyan,1980/4/2,67,54,60
longyan,1980/4/3,72,58,63
longyan,1980/4/4,73,59,64
longyan,1980/4/5,83,62,73
longyan,1980/4/6,84,71,74
longyan,1980/4/7,74,61,65
longyan,1980/4/8,69,61,64
longyan,1980/4/9,69,63,66
longyan,1980/4/10,65,59,62
longyan,1980/4/11,73,61,66
longyan,1980/4/12,73,64,68
longyan,1980/4/13,68,63,66
longyan,1980/4/14,65,54,56
longyan,1980/4/15,68,51,58
longyan,1980/4/16,72,55,61
longyan,1980/4/17,74,56,66
longyan,1980/4/18,79,58,68
longyan,1980/4/19,74,65,69
longyan,1980/4/20,78,67,72
longyan,1980/4/21,71,59,61
longyan,1980/4/22,67,58,62
longyan,1980/4/23,64,60,62
longyan,1980/4/24,60,56,57
longyan,1980/4/25,59,53,56
longyan,1980/4/26,62,55,58
longyan,1980/4/27,72,59,65
longyan,1980/4/28,73,64,67
longyan,1980/4/29,71,62,66
longyan,1980/4/30,76,63,67
longyan,1980/5/1,70,63,67
longyan,1980/5/2,67,60,64
longyan,1980/5/3,78,64,71
longyan,1980/5/4,77,67,71
longyan,1980/5/5,75,69,71
longyan,1980/5/6,75,67,70
longyan,1980/5/7,72,65,67
longyan,1980/5/8,70,63,66
longyan,1980/5/9,69,62,65
longyan,1980/5/10,67,62,65
longyan,1980/5/11,70,63,66
longyan,1980/5/12,80,66,72
longyan,1980/5/13,84,69,75
longyan,1980/5/14,87,67,77
longyan,1980/5/15,86,73,80
longyan,1980/5/16,79,65,67
longyan,1980/5/17,73,63,67
longyan,1980/5/18,76,64,68
longyan,1980/5/19,82,65,72
longyan,1980/5/20,86,69,75
longyan,1980/5/21,81,69,73
longyan,1980/5/22,76,66,69
longyan,1980/5/23,79,67,71
longyan,1980/5/24,77,69,75
longyan,1980/5/25,85,76,80
longyan,1980/5/26,86,70,77
longyan,1980/5/27,70,61,68
longyan,1980/5/28,79,64,71
longyan,1980/5/29,82,69,75
longyan,1980/5/30,88,72,79
longyan,1980/5/31,90,76,81
longyan,1980/6/1,87,76,81
longyan,1980/6/2,84,72,77
longyan,1980/6/3,79,68,73
longyan,1980/6/4,81,68,74
longyan,1980/6/5,84,72,77
longyan,1980/6/6,87,73,79
longyan,1980/6/7,87,74,79
longyan,1980/6/8,87,76,81
longyan,1980/6/9,88,76,81
longyan,1980/6/10,90,76,83
longyan,1980/6/11,93,78,85
longyan,1980/6/12,94,79,86
longyan,1980/6/13,93,79,85
longyan,1980/6/14,93,79,85
longyan,1980/6/15,91,77,83
longyan,1980/6/16,91,78,84
longyan,1980/6/17,92,78,84
longyan,1980/6/18,94,78,84
longyan,1980/6/19,95,80,86
longyan,1980/6/20,95,79,85
longyan,1980/6/21,95,80,86
longyan,1980/6/22,94,80,85
longyan,1980/6/23,94,80,86
longyan,1980/6/24,95,76,85
longyan,1980/6/25,95,81,87
longyan,1980/6/26,92,80,85
longyan,1980/6/27,92,78,83
longyan,1980/6/28,90,79,83
longyan,1980/6/29,92,79,84
longyan,1980/6/30,96,77,86
longyan,1980/7/1,93,80,86
longyan,1980/7/2,93,80,85
longyan,1980/7/3,97,80,87
longyan,1980/7/4,97,80,87
longyan,1980/7/5,96,76,85
longyan,1980/7/6,93,80,85
longyan,1980/7/7,94,80,85
longyan,1980/7/8,93,80,85
longyan,1980/7/9,92,80,86
longyan,1980/7/10,96,79,86
longyan,1980/7/11,87,79,82
longyan,1980/7/12,81,75,78
longyan,1980/7/13,85,76,80
longyan,1980/7/14,90,78,83
longyan,1980/7/15,94,79,84
longyan,1980/7/16,91,78,84
longyan,1980/7/17,94,78,85
longyan,1980/7/18,92,80,85
longyan,1980/7/19,91,79,84
longyan,1980/7/20,96,78,85
longyan,1980/7/21,96,80,87
longyan,1980/7/22,94,81,86
longyan,1980/7/23,99,80,87
longyan,1980/7/24,99,79,88
longyan,1980/7/25,95,78,85
longyan,1980/7/26,95,80,86
longyan,1980/7/27,84,76,79
longyan,1980/7/28,85,74,79
longyan,1980/7/29,89,76,82
longyan,1980/7/30,90,78,83
longyan,1980/7/31,90,79,83
longyan,1980/8/1,93,78,85
longyan,1980/8/2,97,78,87
longyan,1980/8/3,95,80,86
longyan,1980/8/4,90,80,83
longyan,1980/8/5,94,78,84
longyan,1980/8/6,91,77,81
longyan,1980/8/7,88,74,78
longyan,1980/8/8,89,76,78
longyan,1980/8/9,93,75,82
longyan,1980/8/10,90,78,83
longyan,1980/8/11,91,78,82
longyan,1980/8/12,89,78,81
longyan,1980/8/13,93,78,85
longyan,1980/8/14,94,79,84
longyan,1980/8/15,91,79,84
longyan,1980/8/16,92,79,84
longyan,1980/8/17,93,80,85
longyan,1980/8/18,92,76,85
longyan,1980/8/19,90,78,83
longyan,1980/8/20,92,78,85
longyan,1980/8/21,93,78,85
longyan,1980/8/22,94,79,86
longyan,1980/8/23,93,79,85
longyan,1980/8/24,92,79,84
longyan,1980/8/25,92,78,83
longyan,1980/8/26,93,80,86
longyan,1980/8/27,95,80,87
longyan,1980/8/28,85,78,80
longyan,1980/8/29,87,74,80
longyan,1980/8/30,90,79,83
longyan,1980/8/31,90,78,84
longyan,1980/9/1,92,79,84
longyan,1980/9/2,92,77,83
longyan,1980/9/3,93,79,84
longyan,1980/9/4,93,78,84
longyan,1980/9/5,92,79,84
longyan,1980/9/6,92,79,85
longyan,1980/9/7,92,79,84
longyan,1980/9/8,87,80,82
longyan,1980/9/9,90,75,81
longyan,1980/9/10,91,77,80
longyan,1980/9/11,89,74,79
longyan,1980/9/12,87,71,78
longyan,1980/9/13,89,72,79
longyan,1980/9/14,90,72,80
longyan,1980/9/15,88,75,81
longyan,1980/9/16,91,75,84
longyan,1980/9/17,89,78,82
longyan,1980/9/18,85,77,81
longyan,1980/9/19,79,73,75
longyan,1980/9/20,84,72,76
longyan,1980/9/21,88,75,80
longyan,1980/9/22,89,75,80
longyan,1980/9/23,82,73,76
longyan,1980/9/24,81,72,76
longyan,1980/9/25,79,72,74
longyan,1980/9/26,85,72,77
longyan,1980/9/27,82,72,76
longyan,1980/9/28,82,69,74
longyan,1980/9/29,82,69,75
longyan,1980/9/30,82,70,74
longyan,1980/10/1,80,69,73
longyan,1980/10/2,80,69,74
longyan,1980/10/3,83,68,75
longyan,1980/10/4,85,73,78
longyan,1980/10/5,87,73,79
longyan,1980/10/6,88,74,79
longyan,1980/10/7,86,74,79
longyan,1980/10/8,87,74,79
longyan,1980/10/9,85,75,80
longyan,1980/10/10,87,73,79
longyan,1980/10/11,89,74,80
longyan,1980/10/12,87,74,78
longyan,1980/10/13,94,74,81
longyan,1980/10/14,81,72,76
longyan,1980/10/15,82,68,74
longyan,1980/10/16,82,68,74
longyan,1980/10/17,84,69,76
longyan,1980/10/18,88,72,78
longyan,1980/10/19,77,70,72
longyan,1980/10/20,81,70,74
longyan,1980/10/21,78,70,73
longyan,1980/10/22,78,68,72
longyan,1980/10/23,77,68,71
longyan,1980/10/24,81,68,74
longyan,1980/10/25,78,71,72
longyan,1980/10/26,73,64,67
longyan,1980/10/27,73,63,67
longyan,1980/10/28,77,66,70
longyan,1980/10/29,76,67,71
longyan,1980/10/30,80,66,73
longyan,1980/10/31,77,69,71
longyan,1980/11/1,79,66,71
longyan,1980/11/2,75,64,68
longyan,1980/11/3,73,61,66
longyan,1980/11/4,79,61,69
longyan,1980/11/5,82,62,71
longyan,1980/11/6,87,67,76
longyan,1980/11/7,80,70,73
longyan,1980/11/8,75,63,69
longyan,1980/11/9,75,60,66
longyan,1980/11/10,77,60,67
longyan,1980/11/11,80,63,70
longyan,1980/11/12,83,63,72
longyan,1980/11/13,71,60,67
longyan,1980/11/14,74,59,65
longyan,1980/11/15,76,64,70
longyan,1980/11/16,81,63,72
longyan,1980/11/17,76,66,71
longyan,1980/11/18,74,70,71
longyan,1980/11/19,79,69,73
longyan,1980/11/20,74,64,67
longyan,1980/11/21,81,64,70
longyan,1980/11/22,73,64,67
longyan,1980/11/23,76,61,66
longyan,1980/11/24,76,59,67
longyan,1980/11/25,74,61,66
longyan,1980/11/26,73,62,66
longyan,1980/11/27,70,62,65
longyan,1980/11/28,76,62,67
longyan,1980/11/29,74,61,66
longyan,1980/11/30,75,58,66
longyan,1980/12/1,76,62,67
longyan,1980/12/2,78,61,67
longyan,1980/12/3,74,59,65
longyan,1980/12/4,70,58,62
longyan,1980/12/5,73,55,63
longyan,1980/12/6,73,58,64
longyan,1980/12/7,69,60,64
longyan,1980/12/8,70,60,64
longyan,1980/12/9,70,60,63
longyan,1980/12/10,71,53,59
longyan,1980/12/11,70,51,60
longyan,1980/12/12,64,56,60
longyan,1980/12/13,64,50,56
longyan,1980/12/14,65,52,58
longyan,1980/12/15,65,58,60
longyan,1980/12/16,72,57,63
longyan,1980/12/17,69,57,62
longyan,1980/12/18,70,58,63
longyan,1980/12/19,65,56,60
longyan,1980/12/20,62,52,56
longyan,1980/12/21,62,54,58
longyan,1980/12/22,71,52,60
longyan,1980/12/23,66,48,57
longyan,1980/12/24,63,47,54
longyan,1980/12/25,62,49,55
longyan,1980/12/26,63,54,57
longyan,1980/12/27,58,51,54
longyan,1980/12/28,58,49,51
longyan,1980/12/29,61,49,53
longyan,1980/12/30,60,46,52
longyan,1980/12/31,60,51,55
longyan,1981/1/1,67,51,56
longyan,1981/1/2,58,47,52
longyan,1981/1/3,54,43,47
longyan,1981/1/4,61,42,49
longyan,1981/1/5,64,49,55
longyan,1981/1/6,61,53,55
longyan,1981/1/7,59,53,55
longyan,1981/1/8,66,55,59
longyan,1981/1/9,70,52,58
longyan,1981/1/10,58,51,54
longyan,1981/1/11,58,44,49
longyan,1981/1/12,60,42,49
longyan,1981/1/13,62,43,51
longyan,1981/1/14,65,47,54
longyan,1981/1/15,67,47,55
longyan,1981/1/16,56,46,50
longyan,1981/1/17,54,42,47
longyan,1981/1/18,62,41,49
longyan,1981/1/19,65,46,53
longyan,1981/1/20,66,51,56
longyan,1981/1/21,67,53,57
longyan,1981/1/22,63,50,54
longyan,1981/1/23,66,53,58
longyan,1981/1/24,73,55,62
longyan,1981/1/25,65,52,54
longyan,1981/1/26,60,49,53
longyan,1981/1/27,56,46,49
longyan,1981/1/28,62,47,53
longyan,1981/1/29,65,51,55
longyan,1981/1/30,63,51,55
longyan,1981/1/31,64,54,57
longyan,1981/2/1,58,52,55
longyan,1981/2/2,66,50,55
longyan,1981/2/3,55,47,51
longyan,1981/2/4,54,44,47
longyan,1981/2/5,61,49,54
longyan,1981/2/6,64,52,55
longyan,1981/2/7,58,48,50
longyan,1981/2/8,66,44,52
longyan,1981/2/9,67,51,56
longyan,1981/2/10,65,50,56
longyan,1981/2/11,69,52,58
longyan,1981/2/12,69,54,60
longyan,1981/2/13,75,60,66
longyan,1981/2/14,69,58,62
longyan,1981/2/15,68,55,59
longyan,1981/2/16,74,59,65
longyan,1981/2/17,67,49,54
longyan,1981/2/18,58,49,52
longyan,1981/2/19,55,51,53
longyan,1981/2/20,58,51,53
longyan,1981/2/21,60,50,53
longyan,1981/2/22,71,51,60
longyan,1981/2/23,76,62,68
longyan,1981/2/24,69,52,57
longyan,1981/2/25,52,43,45
longyan,1981/2/26,46,41,42
longyan,1981/2/27,44,38,42
longyan,1981/2/28,53,43,48
longyan,1981/3/1,61,52,55
longyan,1981/3/2,56,50,52
longyan,1981/3/3,69,53,59
longyan,1981/3/4,63,53,58
longyan,1981/3/5,63,50,54
longyan,1981/3/6,66,50,57
longyan,1981/3/7,65,49,55
longyan,1981/3/8,67,53,59
longyan,1981/3/9,67,58,61
longyan,1981/3/10,64,56,58
longyan,1981/3/11,66,53,57
longyan,1981/3/12,73,55,62
longyan,1981/3/13,80,61,69
longyan,1981/3/14,83,62,71
longyan,1981/3/15,70,54,58
longyan,1981/3/16,59,52,55
longyan,1981/3/17,61,53,56
longyan,1981/3/18,62,55,59
longyan,1981/3/19,74,58,64
longyan,1981/3/20,66,58,60
