city,date,tmax,tmin,tavg
tianjin,1980/1/1,30,22,26
tianjin,1980/1/2,35,18,28
tianjin,1980/1/3,33,28,29
tianjin,1980/1/4,30,20,24
tianjin,1980/1/5,36,15,25
tianjin,1980/1/6,32,21,26
tianjin,1980/1/7,40,17,26
tianjin,1980/1/8,40,19,28
tianjin,1980/1/9,33,22,27
tianjin,1980/1/10,26,16,21
tianjin,1980/1/11,34,13,21
tianjin,1980/1/12,37,17,27
tianjin,1980/1/13,38,18,27
tianjin,1980/1/14,34,22,27
tianjin,1980/1/15,41,16,28
tianjin,1980/1/16,34,20,27
tianjin,1980/1/17,30,13,20
tianjin,1980/1/18,28,15,22
tianjin,1980/1/19,35,13,23
tianjin,1980/1/20,37,16,25
tianjin,1980/1/21,36,19,26
tianjin,1980/1/22,42,15,26
tianjin,1980/1/23,43,23,32
tianjin,1980/1/24,39,23,30
tianjin,1980/1/25,40,23,30
tianjin,1980/1/26,37,26,30
tianjin,1980/1/27,39,25,32
tianjin,1980/1/28,35,22,26
tianjin,1980/1/29,23,9,15
tianjin,1980/1/30,23,6,13
tianjin,1980/1/31,25,13,19
tianjin,1980/2/1,29,15,22
tianjin,1980/2/2,30,13,23
tianjin,1980/2/3,24,13,18
tianjin,1980/2/4,22,12,16
tianjin,1980/2/5,19,10,15
tianjin,1980/2/6,23,6,15
tianjin,1980/2/7,23,12,17
tianjin,1980/2/8,26,13,18
tianjin,1980/2/9,37,11,23
tianjin,1980/2/10,44,17,29
tianjin,1980/2/11,40,26,31
tianjin,1980/2/12,43,20,31
tianjin,1980/2/13,35,21,25
tianjin,1980/2/14,36,13,25
tianjin,1980/2/15,45,17,29
tianjin,1980/2/16,44,18,28
tianjin,1980/2/17,46,22,33
tianjin,1980/2/18,37,30,34
tianjin,1980/2/19,37,28,31
tianjin,1980/2/20,42,26,32
tianjin,1980/2/21,38,25,31
tianjin,1980/2/22,48,24,35
tianjin,1980/2/23,55,29,39
tianjin,1980/2/24,44,28,35
tianjin,1980/2/25,36,31,33
tianjin,1980/2/26,42,27,34
tianjin,1980/2/27,49,27,36
tianjin,1980/2/28,54,28,41
tianjin,1980/2/29,49,35,43
tianjin,1980/3/1,50,33,40
tianjin,1980/3/2,55,29,42
tianjin,1980/3/3,46,32,39
tianjin,1980/3/4,47,31,36
tianjin,1980/3/5,51,30,40
tianjin,1980/3/6,54,33,42
tianjin,1980/3/7,56,36,44
tianjin,1980/3/8,45,35,39
tianjin,1980/3/9,35,31,33
tianjin,1980/3/10,33,28,30
tianjin,1980/3/11,36,27,30
tianjin,1980/3/12,38,29,34
tianjin,1980/3/13,44,32,37
tianjin,1980/3/14,47,30,38
tianjin,1980/3/15,49,31,41
tianjin,1980/3/16,58,29,44
tianjin,1980/3/17,47,35,40
tianjin,1980/3/18,39,32,35
tianjin,1980/3/19,49,32,40
tianjin,1980/3/20,47,35,40
tianjin,1980/3/21,44,31,36
tianjin,1980/3/22,37,29,32
tianjin,1980/3/23,45,30,37
tianjin,1980/3/24,53,28,40
tianjin,1980/3/25,54,33,44
tianjin,1980/3/26,65,33,49
tianjin,1980/3/27,69,40,54
tianjin,1980/3/28,67,45,54
tianjin,1980/3/29,62,42,52
tianjin,1980/3/30,55,44,47
tianjin,1980/3/31,55,40,47
tianjin,1980/4/1,56,36,46
tianjin,1980/4/2,66,36,51
tianjin,1980/4/3,75,52,61
tianjin,1980/4/4,72,57,61
tianjin,1980/4/5,60,41,47
tianjin,1980/4/6,53,34,43
tianjin,1980/4/7,49,43,47
tianjin,1980/4/8,60,43,49
tianjin,1980/4/9,48,41,43
tianjin,1980/4/10,66,39,54
tianjin,1980/4/11,69,50,57
tianjin,1980/4/12,52,41,45
tianjin,1980/4/13,53,38,44
tianjin,1980/4/14,57,40,47
tianjin,1980/4/15,47,36,42
tianjin,1980/4/16,57,36,46
tianjin,1980/4/17,66,44,54
tianjin,1980/4/18,65,52,58
tianjin,1980/4/19,62,47,54
tianjin,1980/4/20,62,43,53
tianjin,1980/4/21,68,42,56
tianjin,1980/4/22,63,49,55
tianjin,1980/4/23,60,44,54
tianjin,1980/4/24,65,41,55
tianjin,1980/4/25,71,47,58
tianjin,1980/4/26,62,52,56
tianjin,1980/4/27,59,46,53
tianjin,1980/4/28,76,45,60
tianjin,1980/4/29,73,51,62
tianjin,1980/4/30,67,51,59
tianjin,1980/5/1,82,49,66
tianjin,1980/5/2,82,63,71
tianjin,1980/5/3,78,62,68
tianjin,1980/5/4,76,55,65
tianjin,1980/5/5,71,57,64
tianjin,1980/5/6,74,53,63
tianjin,1980/5/7,77,56,66
tianjin,1980/5/8,75,56,65
tianjin,1980/5/9,88,55,71
tianjin,1980/5/10,86,62,74
tianjin,1980/5/11,80,62,69
tianjin,1980/5/12,67,58,62
tianjin,1980/5/13,82,55,68
tianjin,1980/5/14,77,60,66
tianjin,1980/5/15,64,53,58
tianjin,1980/5/16,74,47,61
tianjin,1980/5/17,81,51,67
tianjin,1980/5/18,74,61,67
tianjin,1980/5/19,78,54,66
tianjin,1980/5/20,82,59,71
tianjin,1980/5/21,84,64,73
tianjin,1980/5/22,89,65,76
tianjin,1980/5/23,87,65,75
tianjin,1980/5/24,76,66,70
tianjin,1980/5/25,66,53,59
tianjin,1980/5/26,72,51,62
tianjin,1980/5/27,93,63,78
tianjin,1980/5/28,92,65,77
tianjin,1980/5/29,91,70,80
tianjin,1980/5/30,81,65,73
tianjin,1980/5/31,80,64,71
tianjin,1980/6/1,72,59,63
tianjin,1980/6/2,79,57,65
tianjin,1980/6/3,85,58,71
tianjin,1980/6/4,89,67,78
tianjin,1980/6/5,90,73,82
tianjin,1980/6/6,82,66,72
tianjin,1980/6/7,84,64,73
tianjin,1980/6/8,88,67,77
tianjin,1980/6/9,80,70,74
tianjin,1980/6/10,90,67,78
tianjin,1980/6/11,89,70,80
tianjin,1980/6/12,91,71,80
tianjin,1980/6/13,92,75,83
tianjin,1980/6/14,94,74,84
tianjin,1980/6/15,85,74,79
tianjin,1980/6/16,90,71,80
tianjin,1980/6/17,87,72,79
tianjin,1980/6/18,92,69,81
tianjin,1980/6/19,92,74,82
tianjin,1980/6/20,91,71,79
tianjin,1980/6/21,87,69,78
tianjin,1980/6/22,86,68,75
tianjin,1980/6/23,93,72,82
tianjin,1980/6/24,85,75,79
tianjin,1980/6/25,86,71,77
tianjin,1980/6/26,91,69,80
tianjin,1980/6/27,91,74,82
tianjin,1980/6/28,91,78,83
tianjin,1980/6/29,82,71,74
tianjin,1980/6/30,86,69,76
tianjin,1980/7/1,79,72,75
tianjin,1980/7/2,86,70,77
tianjin,1980/7/3,84,74,78
tianjin,1980/7/4,85,70,76
tianjin,1980/7/5,93,68,81
tianjin,1980/7/6,89,73,79
tianjin,1980/7/7,92,66,79
tianjin,1980/7/8,94,74,83
tianjin,1980/7/9,95,76,86
tianjin,1980/7/10,92,78,84
tianjin,1980/7/11,93,76,84
tianjin,1980/7/12,89,77,83
tianjin,1980/7/13,83,69,75
tianjin,1980/7/14,91,68,80
tianjin,1980/7/15,91,73,80
tianjin,1980/7/16,81,71,74
tianjin,1980/7/17,87,71,79
tianjin,1980/7/18,94,77,84
tianjin,1980/7/19,87,69,78
tianjin,1980/7/20,87,70,78
tianjin,1980/7/21,90,75,83
tianjin,1980/7/22,94,78,85
tianjin,1980/7/23,93,77,85
tianjin,1980/7/24,86,77,80
tianjin,1980/7/25,94,72,83
tianjin,1980/7/26,91,73,83
tianjin,1980/7/27,84,77,79
tianjin,1980/7/28,86,74,79
tianjin,1980/7/29,85,75,79
tianjin,1980/7/30,89,72,80
tianjin,1980/7/31,91,75,83
tianjin,1980/8/1,88,75,81
tianjin,1980/8/2,88,76,81
tianjin,1980/8/3,87,76,80
tianjin,1980/8/4,85,73,78
tianjin,1980/8/5,84,71,78
tianjin,1980/8/6,86,71,78
tianjin,1980/8/7,87,73,80
tianjin,1980/8/8,87,68,74
tianjin,1980/8/9,84,69,76
tianjin,1980/8/10,84,69,77
tianjin,1980/8/11,79,70,73
tianjin,1980/8/12,81,68,74
tianjin,1980/8/13,84,68,75
tianjin,1980/8/14,84,70,74
tianjin,1980/8/15,81,70,75
tianjin,1980/8/16,80,70,72
tianjin,1980/8/17,79,71,74
tianjin,1980/8/18,85,67,75
tianjin,1980/8/19,84,70,77
tianjin,1980/8/20,88,69,78
tianjin,1980/8/21,88,71,80
tianjin,1980/8/22,89,73,80
tianjin,1980/8/23,91,74,82
tianjin,1980/8/24,87,75,79
tianjin,1980/8/25,83,72,76
tianjin,1980/8/26,86,68,77
tianjin,1980/8/27,80,72,73
tianjin,1980/8/28,73,69,70
tianjin,1980/8/29,82,69,74
tianjin,1980/8/30,85,69,76
tianjin,1980/8/31,87,68,77
tianjin,1980/9/1,76,60,67
tianjin,1980/9/2,81,62,71
tianjin,1980/9/3,82,66,74
tianjin,1980/9/4,79,68,71
tianjin,1980/9/5,85,60,73
tianjin,1980/9/6,81,65,73
tianjin,1980/9/7,80,61,70
tianjin,1980/9/8,82,59,70
tianjin,1980/9/9,77,64,69
tianjin,1980/9/10,81,61,70
tianjin,1980/9/11,84,64,72
tianjin,1980/9/12,79,66,71
tianjin,1980/9/13,83,59,72
tianjin,1980/9/14,77,65,70
tianjin,1980/9/15,72,62,66
tianjin,1980/9/16,78,54,66
tianjin,1980/9/17,84,54,67
tianjin,1980/9/18,82,57,69
tianjin,1980/9/19,77,60,69
tianjin,1980/9/20,71,56,64
tianjin,1980/9/21,68,60,63
tianjin,1980/9/22,68,52,60
tianjin,1980/9/23,78,50,64
tianjin,1980/9/24,78,51,65
tianjin,1980/9/25,70,59,62
tianjin,1980/9/26,74,57,64
tianjin,1980/9/27,79,59,67
tianjin,1980/9/28,75,60,66
tianjin,1980/9/29,72,58,63
tianjin,1980/9/30,76,54,64
tianjin,1980/10/1,80,61,68
tianjin,1980/10/2,82,61,70
tianjin,1980/10/3,80,60,68
tianjin,1980/10/4,77,61,67
tianjin,1980/10/5,79,60,67
tianjin,1980/10/6,81,58,68
tianjin,1980/10/7,81,60,67
tianjin,1980/10/8,65,46,56
tianjin,1980/10/9,67,52,58
tianjin,1980/10/10,62,52,56
tianjin,1980/10/11,62,51,55
tianjin,1980/10/12,60,53,55
tianjin,1980/10/13,63,46,51
tianjin,1980/10/14,70,44,55
tianjin,1980/10/15,65,53,58
tianjin,1980/10/16,67,53,60
tianjin,1980/10/17,67,52,58
tianjin,1980/10/18,70,48,56
tianjin,1980/10/19,60,51,55
tianjin,1980/10/20,60,43,50
tianjin,1980/10/21,60,40,49
tianjin,1980/10/22,63,42,53
tianjin,1980/10/23,59,53,55
tianjin,1980/10/24,55,39,47
tianjin,1980/10/25,46,36,41
tianjin,1980/10/26,52,36,43
tianjin,1980/10/27,57,35,46
tianjin,1980/10/28,57,41,47
tianjin,1980/10/29,64,36,48
tianjin,1980/10/30,55,44,48
tianjin,1980/10/31,61,36,47
tianjin,1980/11/1,62,42,50
tianjin,1980/11/2,64,38,48
tianjin,1980/11/3,62,40,49
tianjin,1980/11/4,65,39,50
tianjin,1980/11/5,71,41,53
tianjin,1980/11/6,70,44,54
tianjin,1980/11/7,58,40,46
tianjin,1980/11/8,48,29,39
tianjin,1980/11/9,63,31,44
tianjin,1980/11/10,65,37,49
tianjin,1980/11/11,56,45,49
tianjin,1980/11/12,48,36,41
tianjin,1980/11/13,51,28,39
tianjin,1980/11/14,55,32,42
tianjin,1980/11/15,56,36,45
tianjin,1980/11/16,57,37,46
tianjin,1980/11/17,58,42,49
tianjin,1980/11/18,54,49,51
tianjin,1980/11/19,53,48,51
tianjin,1980/11/20,55,48,51
tianjin,1980/11/21,53,42,48
tianjin,1980/11/22,55,39,46
tianjin,1980/11/23,48,44,45
tianjin,1980/11/24,51,37,42
tianjin,1980/11/25,56,33,42
tianjin,1980/11/26,53,36,43
tianjin,1980/11/27,54,34,42
tianjin,1980/11/28,57,33,42
tianjin,1980/11/29,54,37,43
tianjin,1980/11/30,50,39,44
tianjin,1980/12/1,51,35,42
tianjin,1980/12/2,43,31,34
tianjin,1980/12/3,33,20,23
tianjin,1980/12/4,37,17,25
tianjin,1980/12/5,44,24,31
tianjin,1980/12/6,46,25,34
tianjin,1980/12/7,46,26,35
tianjin,1980/12/8,39,16,25
tianjin,1980/12/9,43,15,29
tianjin,1980/12/10,45,25,34
tianjin,1980/12/11,36,23,27
tianjin,1980/12/12,25,17,21
tianjin,1980/12/13,28,15,20
tianjin,1980/12/14,36,16,25
tianjin,1980/12/15,33,19,26
tianjin,1980/12/16,37,17,25
tianjin,1980/12/17,35,20,27
tianjin,1980/12/18,40,25,31
tianjin,1980/12/19,41,25,34
tianjin,1980/12/20,40,26,31
tianjin,1980/12/21,38,21,29
tianjin,1980/12/22,34,28,29
