date,tmin
2010-01-11,11.0
2010-02-11,20.0
2010-03-11,5.0
2010-04-11,17.0
2010-05-11,17.0
2010-06-11,21.0
2010-07-11,26.0
2010-08-11,26.0
2010-09-11,25.0
2010-10-11,22.0
2010-11-11,13.0
2010-12-11,13.0
2011-01-11,-5.0
2011-02-11,-2.0
2011-03-11,5.0
2011-04-11,7.0
2011-05-11,13.0
2011-06-11,22.0
2011-07-11,25.0
2011-08-11,22.0
2011-09-11,17.0
2011-10-11,13.0
2011-11-11,7.0
2011-12-11,0.0
2012-01-11,-2.0
2012-02-11,7.0
2012-03-11,8.0
2012-04-11,18.0
2012-05-11,21.0
2012-06-11,22.0
2012-07-11,23.0
2012-08-11,22.0
2012-09-11,22.0
2012-10-11,16.0
2012-11-11,15.0
2012-12-11,8.0
2013-01-11,7.0
2013-02-11,10.0
2013-03-11,12.0
2013-04-11,13.0
2013-05-11,21.0
2013-06-11,22.0
2013-07-11,22.0
2013-08-11,22.0
2013-09-11,22.0
2013-10-11,20.0
2013-11-11,18.0
2013-12-11,8.0
2014-01-11,7.0
2014-02-11,2.0
2014-03-11,10.0
2014-04-11,18.0
2014-05-11,20.0
2014-06-11,33.0
2014-07-11,25.0
2014-08-11,25.0
2014-09-11,23.0
2014-10-11,18.0
2014-11-11,17.0
2014-12-11,12.0
2015-01-11,8.0
2015-02-11,6.0
2015-03-11,8.0
2015-04-11,15.0
2015-05-11,17.0
2015-06-11,23.0
2015-07-11,23.0
2015-08-11,22.0
2015-09-11,21.0
2015-10-11,13.0
2015-11-11,17.0
2015-12-11,12.0
2016-01-11,10.0
2016-02-11,16.0
2016-03-11,5.0
2016-04-11,17.0
2016-05-11,17.0
2016-06-11,23.0
2016-07-11,23.0
2016-08-11,23.0
2016-09-11,22.0
2016-10-11,17.0
2016-11-11,12.0
2016-12-11,11.0
2017-01-11,12.0
2017-02-11,2.0
2017-03-11,12.0
2017-04-11,16.0
2017-05-11,22.0
2017-06-11,23.0
2017-07-11,22.0
2017-08-11,23.0
2017-09-11,23.0
2017-10-11,21.0
2017-11-11,17.0
2017-12-11,7.0
2018-01-11,1.0
2018-02-11,5.0
2018-03-11,7.0
2018-04-11,20.0
2018-05-11,18.0
2018-06-11,22.0
2018-07-11,22.0
2018-08-11,22.0
2018-09-11,21.0
2018-10-11,17.0
2018-11-11,17.0
2018-12-11,7.0
2019-01-11,15.0
2019-02-11,11.0
2019-03-11,10.0
2019-04-11,16.0
2019-05-11,20.0
2019-06-11,21.0
2019-07-11,23.0
2019-08-11,23.0
2019-09-11,23.0
2019-10-11,21.0
2019-11-11,12.0
2019-12-11,7.0
2020-01-11,7.0
2020-02-11,16.0
2020-03-11,12.0
2020-04-11,11.0
2020-05-11,22.0
2020-06-11,23.0
