city,date,tmax,tmin,tavg
xiangyang,1980/1/1,31,28,29
xiangyang,1980/1/2,35,26,31
xiangyang,1980/1/3,43,34,38
xiangyang,1980/1/4,46,35,38
xiangyang,1980/1/5,40,27,35
xiangyang,1980/1/6,50,32,39
xiangyang,1980/1/7,48,26,36
xiangyang,1980/1/8,52,28,39
xiangyang,1980/1/9,43,29,36
xiangyang,1980/1/10,41,34,36
xiangyang,1980/1/11,34,29,32
xiangyang,1980/1/12,50,32,38
xiangyang,1980/1/13,52,26,38
xiangyang,1980/1/14,55,25,38
xiangyang,1980/1/15,56,26,39
xiangyang,1980/1/16,56,31,42
xiangyang,1980/1/17,50,27,37
xiangyang,1980/1/18,40,33,35
xiangyang,1980/1/19,52,24,35
xiangyang,1980/1/20,54,25,38
xiangyang,1980/1/21,54,26,39
xiangyang,1980/1/22,50,29,38
xiangyang,1980/1/23,56,35,44
xiangyang,1980/1/24,49,41,44
xiangyang,1980/1/25,54,33,43
xiangyang,1980/1/26,57,30,42
xiangyang,1980/1/27,45,39,41
xiangyang,1980/1/28,40,31,35
xiangyang,1980/1/29,33,28,31
xiangyang,1980/1/30,31,22,25
xiangyang,1980/1/31,33,19,26
xiangyang,1980/2/1,38,28,32
xiangyang,1980/2/2,41,28,34
xiangyang,1980/2/3,40,28,33
xiangyang,1980/2/4,37,31,33
xiangyang,1980/2/5,38,20,29
xiangyang,1980/2/6,37,30,33
xiangyang,1980/2/7,40,24,31
xiangyang,1980/2/8,44,25,33
xiangyang,1980/2/9,46,25,34
xiangyang,1980/2/10,50,24,36
xiangyang,1980/2/11,50,28,38
xiangyang,1980/2/12,54,26,38
xiangyang,1980/2/13,52,34,41
xiangyang,1980/2/14,47,31,38
xiangyang,1980/2/15,47,33,38
xiangyang,1980/2/16,46,35,40
xiangyang,1980/2/17,42,37,39
xiangyang,1980/2/18,58,31,43
xiangyang,1980/2/19,48,33,38
xiangyang,1980/2/20,50,29,40
xiangyang,1980/2/21,53,34,42
xiangyang,1980/2/22,58,30,44
xiangyang,1980/2/23,61,43,51
xiangyang,1980/2/24,62,36,49
xiangyang,1980/2/25,56,47,50
xiangyang,1980/2/26,50,45,47
xiangyang,1980/2/27,61,34,47
xiangyang,1980/2/28,62,36,47
xiangyang,1980/2/29,58,44,52
xiangyang,1980/3/1,54,41,44
xiangyang,1980/3/2,44,41,42
xiangyang,1980/3/3,42,36,40
xiangyang,1980/3/4,43,37,41
xiangyang,1980/3/5,49,33,41
xiangyang,1980/3/6,56,43,48
xiangyang,1980/3/7,52,44,48
xiangyang,1980/3/8,62,43,51
xiangyang,1980/3/9,62,39,50
xiangyang,1980/3/10,55,36,42
xiangyang,1980/3/11,37,33,35
xiangyang,1980/3/12,35,33,34
xiangyang,1980/3/13,42,34,37
xiangyang,1980/3/14,50,35,42
xiangyang,1980/3/15,51,35,42
xiangyang,1980/3/16,48,36,42
xiangyang,1980/3/17,59,33,46
xiangyang,1980/3/18,65,48,55
xiangyang,1980/3/19,64,44,53
xiangyang,1980/3/20,57,35,47
xiangyang,1980/3/21,39,33,35
xiangyang,1980/3/22,49,35,41
xiangyang,1980/3/23,45,40,43
xiangyang,1980/3/24,45,40,42
xiangyang,1980/3/25,56,29,44
xiangyang,1980/3/26,61,38,51
xiangyang,1980/3/27,65,38,51
xiangyang,1980/3/28,60,49,54
xiangyang,1980/3/29,59,43,51
xiangyang,1980/3/30,61,52,56
xiangyang,1980/3/31,61,45,51
xiangyang,1980/4/1,69,37,54
xiangyang,1980/4/2,75,43,56
xiangyang,1980/4/3,73,48,60
xiangyang,1980/4/4,71,56,64
xiangyang,1980/4/5,65,51,58
xiangyang,1980/4/6,62,46,52
xiangyang,1980/4/7,66,51,57
xiangyang,1980/4/8,64,49,58
xiangyang,1980/4/9,62,53,57
xiangyang,1980/4/10,60,50,55
xiangyang,1980/4/11,60,52,56
xiangyang,1980/4/12,60,54,56
xiangyang,1980/4/13,58,41,49
xiangyang,1980/4/14,62,38,48
xiangyang,1980/4/15,74,43,58
xiangyang,1980/4/16,72,49,61
xiangyang,1980/4/17,83,48,66
xiangyang,1980/4/18,85,51,68
xiangyang,1980/4/19,74,59,67
xiangyang,1980/4/20,73,55,64
xiangyang,1980/4/21,66,56,60
xiangyang,1980/4/22,70,46,58
xiangyang,1980/4/23,64,51,58
xiangyang,1980/4/24,60,48,51
xiangyang,1980/4/25,60,45,52
xiangyang,1980/4/26,62,44,54
xiangyang,1980/4/27,62,46,54
xiangyang,1980/4/28,73,55,63
xiangyang,1980/4/29,76,51,63
xiangyang,1980/4/30,81,55,68
xiangyang,1980/5/1,74,56,64
xiangyang,1980/5/2,81,56,68
xiangyang,1980/5/3,89,59,74
xiangyang,1980/5/4,78,64,71
xiangyang,1980/5/5,84,50,69
xiangyang,1980/5/6,71,55,62
xiangyang,1980/5/7,69,54,62
xiangyang,1980/5/8,82,51,66
xiangyang,1980/5/9,80,53,67
xiangyang,1980/5/10,81,57,69
xiangyang,1980/5/11,78,61,68
xiangyang,1980/5/12,87,54,70
xiangyang,1980/5/13,90,66,78
xiangyang,1980/5/14,90,71,78
xiangyang,1980/5/15,82,61,72
xiangyang,1980/5/16,76,60,65
xiangyang,1980/5/17,77,49,64
