city,date,tmax,tmin,tavg
zhengzhou,1980/1/1,31,26,27
zhengzhou,1980/1/2,41,20,31
zhengzhou,1980/1/3,39,33,35
zhengzhou,1980/1/4,40,27,32
zhengzhou,1980/1/5,46,25,34
zhengzhou,1980/1/6,42,35,38
zhengzhou,1980/1/7,50,22,35
zhengzhou,1980/1/8,47,24,32
zhengzhou,1980/1/9,40,22,30
zhengzhou,1980/1/10,33,24,28
zhengzhou,1980/1/11,35,23,28
zhengzhou,1980/1/12,44,26,36
zhengzhou,1980/1/13,48,19,33
zhengzhou,1980/1/14,48,25,36
zhengzhou,1980/1/15,51,22,35
zhengzhou,1980/1/16,49,25,35
zhengzhou,1980/1/17,38,22,28
zhengzhou,1980/1/18,32,22,27
zhengzhou,1980/1/19,42,21,29
zhengzhou,1980/1/20,50,19,35
zhengzhou,1980/1/21,51,22,33
zhengzhou,1980/1/22,49,23,33
zhengzhou,1980/1/23,51,25,36
zhengzhou,1980/1/24,44,23,33
zhengzhou,1980/1/25,51,23,33
zhengzhou,1980/1/26,51,27,38
zhengzhou,1980/1/27,39,31,34
zhengzhou,1980/1/28,36,31,34
zhengzhou,1980/1/29,33,26,29
zhengzhou,1980/1/30,28,13,19
zhengzhou,1980/1/31,29,17,23
zhengzhou,1980/2/1,35,22,27
zhengzhou,1980/2/2,38,22,28
zhengzhou,1980/2/3,36,20,29
zhengzhou,1980/2/4,29,23,25
zhengzhou,1980/2/5,37,13,24
zhengzhou,1980/2/6,33,16,23
zhengzhou,1980/2/7,35,18,26
zhengzhou,1980/2/8,38,17,26
zhengzhou,1980/2/9,43,10,26
zhengzhou,1980/2/10,47,24,35
zhengzhou,1980/2/11,44,24,33
zhengzhou,1980/2/12,52,22,34
zhengzhou,1980/2/13,37,27,30
zhengzhou,1980/2/14,42,19,29
zhengzhou,1980/2/15,45,23,34
zhengzhou,1980/2/16,51,30,39
zhengzhou,1980/2/17,42,35,37
zhengzhou,1980/2/18,56,31,41
zhengzhou,1980/2/19,51,26,39
zhengzhou,1980/2/20,44,32,37
zhengzhou,1980/2/21,50,25,35
zhengzhou,1980/2/22,55,26,39
zhengzhou,1980/2/23,59,29,42
zhengzhou,1980/2/24,58,32,44
zhengzhou,1980/2/25,57,41,48
zhengzhou,1980/2/26,50,42,45
zhengzhou,1980/2/27,62,32,45
zhengzhou,1980/2/28,65,28,44
zhengzhou,1980/2/29,61,40,49
zhengzhou,1980/3/1,52,33,43
zhengzhou,1980/3/2,48,41,43
zhengzhou,1980/3/3,50,34,41
zhengzhou,1980/3/4,47,35,40
zhengzhou,1980/3/5,51,35,42
zhengzhou,1980/3/6,56,36,44
zhengzhou,1980/3/7,50,39,45
zhengzhou,1980/3/8,48,42,44
zhengzhou,1980/3/9,46,38,41
zhengzhou,1980/3/10,42,31,34
zhengzhou,1980/3/11,37,29,32
zhengzhou,1980/3/12,36,32,34
zhengzhou,1980/3/13,44,34,37
zhengzhou,1980/3/14,50,33,40
zhengzhou,1980/3/15,55,33,42
zhengzhou,1980/3/16,58,33,45
zhengzhou,1980/3/17,64,34,49
zhengzhou,1980/3/18,55,39,47
zhengzhou,1980/3/19,62,40,49
zhengzhou,1980/3/20,48,43,45
zhengzhou,1980/3/21,44,32,34
zhengzhou,1980/3/22,44,31,36
zhengzhou,1980/3/23,45,36,40
zhengzhou,1980/3/24,50,29,40
zhengzhou,1980/3/25,57,33,45
zhengzhou,1980/3/26,63,31,48
zhengzhou,1980/3/27,67,36,52
zhengzhou,1980/3/28,63,49,54
zhengzhou,1980/3/29,65,42,54
zhengzhou,1980/3/30,60,49,51
zhengzhou,1980/3/31,60,46,51
zhengzhou,1980/4/1,70,35,53
zhengzhou,1980/4/2,75,42,59
zhengzhou,1980/4/3,75,54,64
zhengzhou,1980/4/4,67,53,58
zhengzhou,1980/4/5,61,41,51
zhengzhou,1980/4/6,53,38,45
zhengzhou,1980/4/7,63,48,53
zhengzhou,1980/4/8,60,49,54
zhengzhou,1980/4/9,54,46,49
zhengzhou,1980/4/10,66,37,53
zhengzhou,1980/4/11,61,53,56
zhengzhou,1980/4/12,60,51,54
zhengzhou,1980/4/13,51,42,45
zhengzhou,1980/4/14,59,35,47
zhengzhou,1980/4/15,66,48,57
zhengzhou,1980/4/16,73,36,57
zhengzhou,1980/4/17,78,51,65
zhengzhou,1980/4/18,94,51,74
zhengzhou,1980/4/19,82,62,67
zhengzhou,1980/4/20,71,41,57
zhengzhou,1980/4/21,63,51,55
zhengzhou,1980/4/22,62,48,57
zhengzhou,1980/4/23,62,51,56
zhengzhou,1980/4/24,58,46,51
zhengzhou,1980/4/25,63,42,53
zhengzhou,1980/4/26,64,44,53
zhengzhou,1980/4/27,72,42,60
zhengzhou,1980/4/28,77,46,63
zhengzhou,1980/4/29,77,53,66
zhengzhou,1980/4/30,83,53,69
zhengzhou,1980/5/1,84,61,71
zhengzhou,1980/5/2,84,57,72
zhengzhou,1980/5/3,83,62,75
zhengzhou,1980/5/4,76,61,67
zhengzhou,1980/5/5,84,47,68
zhengzhou,1980/5/6,70,54,59
zhengzhou,1980/5/7,74,49,62
zhengzhou,1980/5/8,74,57,64
zhengzhou,1980/5/9,82,46,66
zhengzhou,1980/5/10,82,57,70
zhengzhou,1980/5/11,73,60,64
zhengzhou,1980/5/12,89,55,72
zhengzhou,1980/5/13,88,60,76
zhengzhou,1980/5/14,77,65,69
zhengzhou,1980/5/15,78,52,65
zhengzhou,1980/5/16,69,49,61
zhengzhou,1980/5/17,76,47,63
zhengzhou,1980/5/18,71,58,63
zhengzhou,1980/5/19,77,54,65
zhengzhou,1980/5/20,82,58,69
zhengzhou,1980/5/21,86,59,73
zhengzhou,1980/5/22,82,61,71
zhengzhou,1980/5/23,88,61,75
zhengzhou,1980/5/24,85,71,77
zhengzhou,1980/5/25,79,62,72
zhengzhou,1980/5/26,85,49,68
zhengzhou,1980/5/27,94,64,79
zhengzhou,1980/5/28,95,58,81
zhengzhou,1980/5/29,95,65,81
zhengzhou,1980/5/30,94,69,81
zhengzhou,1980/5/31,83,66,73
zhengzhou,1980/6/1,67,61,63
zhengzhou,1980/6/2,85,51,68
zhengzhou,1980/6/3,90,56,76
zhengzhou,1980/6/4,91,69,81
zhengzhou,1980/6/5,89,67,79
zhengzhou,1980/6/6,82,70,74
zhengzhou,1980/6/7,94,65,80
zhengzhou,1980/6/8,95,69,82
zhengzhou,1980/6/9,85,71,76
zhengzhou,1980/6/10,81,62,73
zhengzhou,1980/6/11,86,66,75
zhengzhou,1980/6/12,94,63,81
zhengzhou,1980/6/13,94,68,82
zhengzhou,1980/6/14,95,71,83
zhengzhou,1980/6/15,94,78,83
zhengzhou,1980/6/16,78,68,72
zhengzhou,1980/6/17,86,69,76
zhengzhou,1980/6/18,80,67,72
zhengzhou,1980/6/19,81,69,74
zhengzhou,1980/6/20,82,65,74
